"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2019/12/03 10:22:15","XRP/JPY","買い","26.58","XRP","40","0","26.58","JPY","-1,064","","","自己","BFF20191203-012215-964492",""
"2019/12/03 10:16:31","XRP/JPY","買い","26.62","XRP","100","0","26.62","JPY","-2,662","","","自己","BFF20191203-011631-929739",""
"2019/12/03 00:44:34","BTC","受取","0","BTC","0.000005","0","797,907","","0","","","","REC20191202-154434-370258","bitFlyer Login Bonus(2019/12/03)"
"2019/11/23 18:02:32","BTC/JPY","売り","758,951","BTC","-0.004005","0","758,951","JPY","3,039","","","自己","BFF20191123-090232-893331",""
"2019/11/22 07:52:45","BTC/JPY","買い","851,680","BTC","0.001","0","851,680","JPY","-852","","","自己","BFF20191121-225245-698599",""
"2019/11/20 18:33:34","BTC/JPY","買い","899,364","BTC","0.001","0","899,364","JPY","-900","","","自己","BFF20191120-093334-267883",""
"2019/11/20 07:56:44","BTC/JPY","買い","906,915","BTC","0.001","0","906,915","JPY","-907","","","自己","BFF20191119-225644-550376",""
"2019/11/20 04:33:01","BTC/JPY","買い","911,036","BTC","0.001","0","911,036","JPY","-912","","","自己","BFF20191119-193301-368817",""
"2019/11/17 00:41:24","BTC","受取","0","BTC","0.000005","0","927,500","","0","","","","REC20191116-154124-215385","bitFlyer Login Bonus(2019/11/17)"
"2019/11/11 06:10:35","MONA/JPY","売り","116.761","MONA","-4.5","0","116.761","JPY","525","","","自己","BFF20191110-211035-925394",""
"2019/11/11 06:10:26","ETH/JPY","売り","19,743","ETH","-0.04","0","19,743","JPY","789","","","自己","BFF20191110-211026-924183",""
"2019/10/26 12:36:17","BTC/JPY","売り","1,016,230","BTC","-0.00208483","0","1,016,230","JPY","2,118","","","自己","BFF20191026-033617-814217",""
"2019/10/16 01:03:26","BTC","受取","0","BTC","0.000005","0","866,982","","0","","","","REC20191015-160326-810993","bitFlyer Login Bonus(2019/10/16)"
"2019/10/13 01:31:18","BTC","受取","0","BTC","0.000005","0","913,600","","0","","","","REC20191012-163118-255048","bitFlyer Login Bonus(2019/10/13)"
"2019/10/11 07:39:59","BTC/JPY","売り","900,949","BTC","-0.001","0","900,949","JPY","900","","","自己","BFF20191010-223959-291735",""
"2019/10/04 00:14:20","BTC","受取","0","BTC","0.000005","0","874,363","","0","","","","REC20191003-151420-965806","bitFlyer Login Bonus(2019/10/04)"
"2019/09/27 12:26:51","BTC/JPY","買い","890,706","BTC","0.00105983","0","890,706","JPY","-944","","","自己","BFF20190927-032651-054869",""
"2019/09/25 00:41:44","BTC","受取","0","BTC","0.000005","0","903,123","","0","","","","REC20190924-154144-769779","bitFlyer Login Bonus(2019/09/25)"
